Recipient,Token Allocated
1762,17021.71
1164,16255.29
1283,33259.98
1336,33373.52
2219,35045.44
3992,33118.05
1974,32743.35
4070,15434.94
5080,15460.49
5687,15653.51
5777,15434.94
5778,15434.94
5544,15683.32
5630,15683.32
5415,33484.22
3205,15735.83
2314,16482.37
2315,16482.37
4795,16232.58
1059,35616
5958,32649.68
5222,32890.96
5252,35258.33
6569,34009.36
1663,15673.38
5883,15525.77
1481,15688.99
5362,15417.91
5363,15417.91
2771,17177.83
2772,17177.83
1803,15304.36
3381,15389.53
4303,15491.72
2468,15129.8
6523,15799.7
2486,17170.73
2487,17170.73
3146,35113.57
3365,33856.08
2362,16174.39
1418,15765.63
2366,15741.51
6286,15649.25
4415,15741.51
4287,31400.71
2125,15663.45
3125,15680.48
1188,16553.34
2664,32922.19
4967,16053.75
4968,16053.75
1894,16624.31
3150,15375.33
6487,15829.5
5815,30665.52
5112,15724.48
1425,16347.55
960,34991.51
2540,14807.62
4429,15769.9
2180,16570.37
5873,17098.35
3602,15359.72
2493,15285.92
6508,16695.27
3902,16587.41
4125,17146.6
3785,16520.7
4035,17041.58
2053,17524.13
4715,16920.93
3319,17058.61
1525,17444.66
3484,17125.32
2093,31701.6
2729,16787.52
4760,31613.6
4746,32053.58
4455,16296.45
1257,16695.27
1596,16231.16
4980,17345.31
5198,15791.19
1469,17460.27
3361,15622.29
2749,16239.68
4557,34307.41
5651,33518.29
4423,17092.67
1949,18307.58
2810,18300.48
3041,18300.48
3042,18300.48
6046,18314.68
3088,18286.29
3016,18314.68
4520,18133.01
5571,18195.46
3812,18118.82
6129,18286.29
6619,18314.68
4662,30154.57
6386,32788.77
2313,31096.98
6368,16651.27
1873,16840.04
6438,16798.88
1684,15417.91
4450,15331.34
5462,32113.19
1437,35289.56
3526,13061.89
3030,34276.19
1072,34914.87
977,34872.29
3025,35195.89
2254,35150.47
3389,35150.47
3535,35377.55
2562,34872.29
2945,35391.75
2650,30608.74
5069,15451.97
1695,17477.3
4110,15542.81
2328,16385.86
2830,17761.15
1772,16967.77
4464,27702.04
6276,17729.93
6607,15419.33
2907,15417.91
6364,33719.83
3956,33705.63
6247,34261.99
6255,34386.89
6256,34386.89
6426,33705.63
2608,33663.05
1115,15410.81
3145,17199.12
5899,15459.07
3858,14895.61
5006,17111.12
2024,89324.76
6653,32470.85
2467,16084.98
8536,17728.51
3200,34315.93
2111,15410.81
4150,35349.17
2831,35224.27
2993,34636.69
5243,17444.66
5792,17558.2
1942,16763.4
2511,16330.52
2474,15758.54
6148,16354.64
6644,16593.08
3677,16241.1
4420,16137.49
4421,16137.49
5412,15020.51
907,16172.97
3886,17558.2
935,16610.11
2308,31942.88
6695,30977.76
4004,17756.9
5066,17785.28
4354,17507.1
5562,17779.61
3360,17756.9
4730,17785.28
4757,17785.28
1705,17414.85
1876,17392.14
4655,17280.02
5577,17535.49
4838,15451.97
6617,29496.02
1733,31360.97
2518,17385.04
3640,15715.96
931,17149.45
8789,15619.45
8788,15619.45
5972,15264.63
4878,16547.67
1861,16533.47
1373,32749.03
4687,15417.91
1601,17863.34
1228,17680.26
6282,17687.35
3813,17430.46
1811,17778.19
897,17522.71
6000,17884.63
4364,17420.52
1270,15190.82
4650,14861.55
