Recipient,Token Allocated
2158,38157.9118
2165,33837.643732
2184,33184.941362
2185,33184.941362
2194,38157.9118
2200,33200.481894
2205,32320.887748
2221,34350.481308
2222,33290.616983
2229,38157.9118
2247,35124.39983
2255,33362.103433
2266,38157.9118
2270,32696.968637
2295,36914.66919
2300,34375.346161
2309,37887.50653
2313,33501.968227
2319,33203.590001
2323,35547.10232
2337,33986.832845
2343,33153.860296
2349,36206.0209
2360,33153.860296
2362,34872.643205
2366,33924.670715
2377,35080.88634
2386,33184.941362
2387,34241.69758
2389,35842.37244
2391,35326.42676
2405,33184.941362
2409,32118.860823
2414,34568.048765
2415,36289.93978
2420,37871.966
2426,36059.9399
2431,37816.02008
2432,35562.64285
2435,38157.9118
2436,36523.04777
2461,36355.21002
2463,38157.9118
2471,38154.8037
2475,34623.994683
2479,36230.88576
2481,38157.9118
2488,37054.53399
2494,32889.671242
2495,33834.535625
2506,38157.9118
2507,38157.9118
2513,37262.77712
2527,34195.075982
2532,38157.9118
2534,31696.158336
2561,37635.74991
2593,31910.617686
2606,37545.61482
2608,36311.69653
2611,33153.860296
2620,36995.47996
2626,33414.941244
2642,32407.91473
2651,37517.64186
2658,37778.72281
2664,35500.48072
2672,33862.508584
2685,33076.157633
2696,33076.157633
2736,33153.860296
2748,35348.1835
2757,30406.294128
2758,34903.72427
3167,93707.91179
2770,33511.292547
2804,38157.9118
2810,38157.9118
2818,38157.9118
2836,31941.698751
2839,38157.9118
2874,37564.26346
2876,36538.5883
2879,33184.941362
2886,35018.72421
2892,33153.860296
2895,37735.20931
2918,33756.832962
2922,35416.56185
2927,34431.292078
2929,38157.9118
2934,37610.88505
2948,32482.509287
2950,35279.80516
2968,34508.994741
2976,33685.346512
2981,34151.562491
2982,33806.562667
2989,37548.72292
3022,38157.9118
3025,37990.07405
3033,37070.07452
3038,33514.400653
3040,38157.9118
3041,38157.9118
3052,33324.806155
3054,34303.859711
3062,33200.481894
3068,37315.61493
3081,35463.18344
3100,35245.61599
3102,38157.9118
3114,38157.9118
3145,37116.69612
3161,33915.346395
3165,32066.023013
3170,33834.535625
3184,32134.401356
3190,33153.860296
3191,33153.860296
3198,33200.481894
3217,38157.9118
3225,32606.833548
3228,38157.9118
3238,32886.563135
3248,38157.9118
3277,33153.860296
3282,33523.724973
3284,33200.481894
3314,33986.832845
3315,33315.481836
3322,34219.940834
3330,33237.779172
3351,38157.9118
3360,38157.9118
3378,33703.995151
3385,32905.211774
3408,38157.9118
3431,38157.9118
3460,37530.07428
3463,38157.9118
3471,38157.9118
3478,30344.131998
3482,37474.12837
3484,36955.07458
3486,35006.29179
3500,38157.9118
3507,38157.9118
3512,38157.9118
3517,38157.9118
3525,38157.9118
3530,37362.23653
3558,34692.373026
3573,36401.83162
3574,37188.18257
3575,33402.508818
3580,38157.9118
3586,33216.022427
3587,32050.48248
3594,37691.69582
3620,34490.346102
3624,38157.9118
3626,33191.157575
3630,34571.156872
3634,34524.535274
3635,37840.88494
3644,37244.12848
3664,38157.9118
3676,33309.265623
3710,38157.9118
3713,33812.77888
3719,37592.23641
3721,37856.42547
3724,38157.9118
3726,33200.481894
3731,37070.07452
3737,33651.15734
3739,38157.9118
3742,37517.64186
3743,36190.48037
3756,35640.34552
3770,38157.9118
3771,38157.9118
3791,36140.75067
3802,33231.562959
3805,32905.211774
3814,32777.779407
3825,34126.697639
3830,36771.69629
